PropertyOrGLLossesInLast3Years,LeadOrMoldIssues,TranBackDt,OccupancyTypeCat,ConstructionTypeCat,TotalSquareFeet,CommercialSquareFeet,YearBuilt,NumberOfStories,PercentageOccupied,AnyBuildingViolations,Mercantile,RenovationGutRehabEverDone,BuildingLimit,RentLimit,OnboardResp
0,0,0,2,1,3100,1800,1930,2,0,0,1,0,350000,0,1
0,0,0,2,1,3526,2000,1931,2,100,0,1,0,350000,0,1
0,0,0,2,1,3600,1200,1928,3,100,0,1,0,350000,0,1
0,0,0,2,1,1896,0,1920,2,100,0,0,0,350000,0,1
1,0,0,2,2,7600,7600,2004,1,100,0,1,0,350000,0,1
0,0,0,2,4,3024,0,1995,3,100,0,0,0,350000,0,1
0,0,0,2,5,2990,1017,1930,3,100,0,1,0,350000,50000,1
0,0,0,2,5,4600,2300,1931,2,100,0,1,0,350000,0,1
0,0,0,4,1,6000,0,1904,5,100,0,0,0,350000,0,1
0,0,0,2,1,24720,0,1931,4,100,0,0,0,350000,0,1
0,0,0,3,5,2976,0,1962,2,100,0,0,0,350000,0,1
0,0,0,2,1,58500,0,1926,5,100,0,0,0,350000,0,1
0,0,0,2,1,3247,0,1931,4,100,0,0,0,350000,0,1
0,0,0,2,5,2310,0,1901,3,100,0,0,0,350000,0,1
0,0,0,2,1,7039,3583,1910,3,100,0,1,0,350000,0,1
0,0,0,2,1,2447,0,1950,2,100,0,0,0,350000,30600,1
0,0,0,2,1,3600,500,1910,3,75,0,1,0,350000,5400,1
0,0,1,2,1,1760,880,1940,2,100,0,1,0,350000,25000,0
0,0,0,2,1,11858,1525,1900,7,90,0,1,0,350000,0,1
0,0,0,2,5,2000,0,1901,2,100,0,0,0,350000,0,1
0,0,0,2,3,60000,0,1930,6,100,0,0,0,350000,0,1
0,0,1,2,1,4004,0,1950,3,100,0,0,0,350000,0,0
0,0,1,2,1,1652,0,1942,1,100,0,0,0,350000,0,0
0,0,0,2,1,41600,0,1940,4,100,0,0,0,350000,0,1
1,0,0,4,1,3756,0,2013,3,100,0,0,0,350000,0,1
0,0,0,2,3,6778,1130,1920,6,100,0,1,0,350000,0,1
0,0,0,2,1,70000,0,1961,6,100,0,0,0,350000,0,1
0,0,0,3,1,1680,0,1945,1,100,0,0,0,350000,0,1
0,0,0,2,1,20250,0,1928,5,75,0,0,0,350000,0,1
0,0,0,2,1,3744,1800,1930,2,52,0,1,0,350000,0,1
0,0,1,2,1,2000,0,1929,3,100,0,0,0,350000,75000,0
0,0,0,2,1,19980,1998,1900,6,94,0,1,0,350000,0,1
0,0,0,2,1,1344,672,1901,2,100,0,1,0,350000,0,1
0,0,0,2,1,4030,0,1938,3,0,0,0,0,350000,0,1
0,0,0,2,1,27133,0,1929,5,100,1,0,0,350000,0,1
0,0,1,2,1,2500,750,1940,2,100,0,1,1,350000,72000,0
0,0,0,2,1,3787,0,1931,4,100,0,0,0,350000,0,1
0,0,0,2,1,1451,0,1910,2,100,0,0,0,360000,13000,1
0,0,0,2,1,1900,0,1950,2,100,0,0,0,364140,20000,1
0,0,0,2,1,2200,1100,1935,2,100,0,1,0,379000,59000,1
0,0,0,2,1,1184,0,1920,2,100,0,0,0,393000,70000,1
0,0,0,2,1,2295,0,1910,2,100,0,0,0,395000,0,1
0,0,0,2,3,1660,830,1915,2,100,0,1,0,397884,100000,1
1,0,1,2,3,1660,830,1915,2,100,0,1,0,397884,100000,0
0,0,0,3,1,1800,0,1960,2,100,0,0,0,400000,40000,1
0,0,0,2,1,2212,0,1950,2,100,0,0,1,403520,48000,1
0,0,0,3,1,2018,0,1900,2,100,0,0,0,410000,20000,1
0,0,0,3,1,2080,0,1925,2,100,0,0,0,427400,0,1
0,0,0,3,5,2003,0,1930,2,100,0,0,0,437000,0,1
0,0,0,3,1,2200,0,1970,2,100,0,0,0,440000,24000,1
0,0,0,2,1,2200,0,1965,3,100,0,0,0,440000,100000,1
0,0,0,3,1,1966,0,1966,2,100,0,0,0,450000,25000,1
1,0,0,3,3,1720,0,1899,2,100,0,0,0,450000,30000,0
0,0,0,2,1,1175,0,1945,2,100,0,0,0,460000,40000,1
0,0,0,3,1,1696,0,1910,2,100,0,0,0,467000,0,1
0,0,0,2,1,2045,0,1965,2,0,0,0,0,468000,35000,1
0,0,0,2,1,2740,0,1950,3,100,0,0,0,472000,40000,1
0,0,0,2,1,2593,0,1960,3,100,0,0,0,476500,62400,1
0,0,0,2,1,1480,0,1940,2,100,0,0,0,481000,0,1
0,0,0,2,1,2700,1350,1931,2,100,0,1,0,486000,49000,1
0,0,1,2,1,2500,750,1940,2,100,0,1,1,488000,72000,0
0,0,0,2,1,2772,0,1950,2,100,0,0,1,490000,45000,1
0,0,1,3,1,2808,0,1910,2,100,0,0,0,500000,125000,0
0,0,1,1,2,1700,0,1900,6,100,0,0,0,500000,36000,0
1,0,0,2,1,2280,0,2006,4,100,0,0,0,500000,40000,1
0,1,0,3,1,2500,0,1920,2,100,0,0,0,500000,40000,1
0,0,0,2,1,2200,700,1910,3,100,0,1,0,500000,80000,1
1,0,0,2,1,2280,0,2006,4,100,0,0,0,500000,40000,1
0,0,0,2,1,2500,0,1931,2,100,0,0,0,500000,50000,1
0,0,0,3,1,2400,0,1910,4,100,0,0,0,500000,0,1
0,0,0,2,1,3150,1350,1901,3,100,0,1,0,500000,75000,1
0,0,0,2,1,2304,0,1930,2,100,0,0,0,500000,50000,1
0,0,0,2,1,2112,0,1930,2,100,0,0,0,500000,104172,1
0,0,0,2,1,2194,0,1920,2,100,0,0,0,500000,150000,1
0,0,0,3,1,1440,0,1960,3,100,0,0,0,500000,18000,1
0,0,0,2,1,2646,1200,1935,2,100,0,1,0,500000,72000,1
0,0,0,2,1,1900,0,1925,2,100,0,0,1,500000,45000,1
0,0,0,2,1,2437,0,1920,2,100,0,0,0,507000,0,1
0,0,0,3,1,1720,0,1950,2,100,0,0,0,515000,30000,1
0,0,0,3,1,1720,0,1950,2,100,0,0,0,515000,30000,1
0,0,0,2,1,2136,0,1910,2,100,0,0,0,515000,30000,1
0,0,0,2,1,2000,0,1940,2,100,0,0,0,516000,20000,1
0,0,0,2,1,2592,0,1950,3,100,0,0,0,518000,65000,1
0,0,0,3,1,2211,0,1930,1,100,0,0,0,520000,0,1
0,0,0,3,1,2568,0,1910,2,100,0,0,0,520000,158000,1
0,0,0,2,1,2800,0,1901,3,100,0,0,0,525000,75000,1
0,0,0,4,1,2208,0,1900,3,100,0,0,0,526606,0,1
0,0,0,2,1,2370,0,1940,2,100,0,0,0,539000,55200,1
0,0,0,2,1,1956,0,1955,2,100,0,0,0,540000,34000,1
1,0,1,2,3,3627,0,1915,3,100,0,1,0,545670,150000,0
